Date,Open,High,Low,Close
2004.06.01,384,404.6,381.1,393.3
2004.07.01,391.6,408.6,384.5,390.5
2004.08.01,390.3,413.8,388.1,409.3
2004.09.01,409.6,418.6,394.3,417.8
2004.10.01,417.8,430.2,409.1,428.1
2004.11.01,429.6,454.8,416.8,450.3
2004.12.01,450.7,456.3,431.5,437
2005.01.01,437.1,437.3,416.5,422.1
2005.02.01,422.1,437.7,409.8,435
2005.03.01,435,446.6,423.1,427.8
2005.04.01,427.7,437.2,421.7,434
2005.05.01,433.8,434.1,413.3,416.8
2005.06.01,416.6,443.2,414.2,434.5
2005.07.01,434.2,436.2,417.8,429.3
2005.08.01,429.2,449.1,428.6,434.6
2005.09.01,434.8,475,434.3,468.8
2005.10.01,467.3,480,459.5,465.2
2005.11.01,465.6,502.2,454.8,498.5
2005.12.01,491.5,540.5,489.3,514.6
2006.01.01,516.8,572.2,516.3,568.7
2006.02.01,569.2,574.7,534.6,562
2006.03.01,562.1,589.1,533.7,583.5
2006.04.01,572.2,655.5,572.2,653.7
2006.05.01,654.1,729.7,635.6,642.7
2006.06.01,643.1,645.2,542.5,615.2
2006.07.01,617,676,602.1,635.7
2006.08.01,635.2,655.5,607,624.6
2006.09.01,626,640.2,570.2,597.7
2006.10.01,598.2,610.6,559.2,606.1
2006.11.01,606,648.2,605.1,647.2
2006.12.01,646.1,649.6,611.1,636.2
2007.01.01,638.2,654.2,601.5,652.7
2007.02.01,652.5,688.1,642.7,669.1
2007.03.01,673.2,677,632.5,663.2
2007.04.01,664.5,693.3,655.9,677.7
2007.05.01,677.9,690.4,651.5,660.5
2007.06.01,661.2,673.6,639.8,649.1
2007.07.01,650.1,687.5,645,663.5
2007.08.01,663.4,676.4,641.6,672.8
2007.09.01,672.5,745.4,671,742.9
2007.10.01,743.7,797,720.3,796.1
2007.11.01,797.9,845.4,772.5,782.7
2007.12.01,784.6,841.8,776.8,831.8
2008.01.01,841,936.7,839.5,924.5
2008.02.01,923.9,975.8,883.9,973.5
2008.03.01,976.1,1032.2,904.4,915.8
2008.04.01,915.4,952.4,862.2,876.7
2008.05.01,875.3,934.9,844.9,886.3
2008.06.01,886.8,934.9,857.1,924.6
2008.07.01,925.4,988,893.6,913.3
2008.08.01,913.7,916.7,772.6,830.7
2008.09.01,833.8,923.9,735.9,870.9
2008.10.01,872.4,931.1,681.4,723.7
2008.11.01,728.2,830.5,699.7,816
2008.12.01,815.1,887.8,741.1,866.8
2009.01.01,874.2,929.2,801.9,926.5
2009.02.01,923.7,1005.9,888.9,941.6
2009.03.01,947.5,966.7,883,917.4
2009.04.01,916.9,932.6,864.54,886.2
2009.05.01,885.9,980.02,880.03,978.57
2009.06.01,976.74,989.63,912.88,926.35
2009.07.01,927.49,958.68,904.78,953.5
2009.08.01,952.97,971.46,930.08,950.65
2009.09.01,952.34,1023.87,946.23,1007.3
2009.10.01,1009.4,1070.58,986.55,1044.96
2009.11.01,1044.12,1194.95,1042.84,1179.32
2009.12.01,1179.66,1226.37,1074.48,1097.51
2010.01.01,1094.61,1161.63,1074.01,1080.67
2010.02.01,1082.66,1130.75,1044.46,1117.3
2010.03.01,1117.83,1144.62,1085.05,1112.89
2010.04.01,1112.98,1181.41,1111.45,1178.72
2010.05.01,1177.78,1249.12,1157.62,1216
2010.06.01,1216.65,1265.02,1196.8,1242.13
2010.07.01,1242.53,1243.73,1157,1180.55
2010.08.01,1181.13,1249.7,1174.53,1247.2
2010.09.01,1247.4,1315.59,1236.5,1307.94
2010.10.01,1307.35,1387.03,1306.72,1359
2010.11.01,1361.2,1424.3,1325.55,1386.4
2010.12.01,1383.2,1430.88,1361.19,1408.13
2011.01.01,1415.71,1423.77,1307.88,1332.4
2011.02.01,1332.31,1417.94,1324.82,1411.12
2011.03.01,1410.87,1447.4,1380.88,1431.9
2011.04.01,1432.48,1569,1412.74,1563.3
2011.05.01,1547.25,1575.13,1462.35,1535.6
2011.06.01,1535.05,1557.86,1490.96,1500
2011.07.01,1500.75,1632.35,1478.05,1626.27
2011.08.01,1610.2,1911.63,1607.88,1824.56
2011.09.01,1824.75,1920.61,1531.94,1623.68
2011.10.01,1623.68,1752.22,1595.65,1713.95
2011.11.01,1710.93,1802.79,1666.33,1746.03
2011.12.01,1747.83,1763.03,1522.64,1564.11
2012.01.01,1567.37,1747.52,1566.07,1738.18
2012.02.01,1738.07,1790.56,1685.96,1696.35
2012.03.01,1716.46,1724.1,1628.08,1666.95
2012.04.01,1671.34,1683.46,1612.39,1664.42
2012.05.01,1664.55,1671.45,1526.96,1560.9
2012.06.01,1559.49,1640.63,1544.92,1596.56
2012.07.01,1597.61,1629.38,1554.94,1613.98
2012.08.01,1614.74,1692.78,1583.83,1690.8
2012.09.01,1689.15,1787.39,1685.35,1771.68
2012.10.01,1769.47,1795.87,1698.5,1720.32
2012.11.01,1719.89,1754.28,1672.63,1714.13
2012.12.01,1714.96,1723.27,1635.44,1674.87
2013.01.01,1673.25,1696.1,1625.8,1663.44
2013.02.01,1663.93,1684.97,1555.04,1579.99
2013.03.01,1580.61,1616.84,1561.41,1596.1
2013.04.01,1600.84,1603.92,1321.54,1476.59
2013.05.01,1475.67,1488.08,1337.95,1387.64
2013.06.01,1389.5,1423.89,1180.17,1234.86
2013.07.01,1235.51,1346.68,1208.14,1325.06
2013.08.01,1324.21,1433.73,1272.8,1394.81
2013.09.01,1391.41,1416.35,1291.79,1328.65
2013.10.01,1327.47,1361.77,1251.67,1322.87
2013.11.01,1323.33,1327.45,1226.77,1252.92
2013.12.01,1249.5,1267.76,1182.42,1208.26
2014.01.01,1225.12,1278.93,1213.57,1243.85
2014.02.01,1243.65,1345.32,1240.76,1326.21
2014.03.01,1335.44,1388.91,1282.38,1283.82
2014.04.01,1284.67,1331.04,1268.41,1291.08
2014.05.01,1291.3,1315.55,1242.15,1249.23
2014.06.01,1249.56,1329.34,1240.56,1327.17
2014.07.01,1326.64,1345.05,1280.48,1282.96
2014.08.01,1283.12,1322.53,1272.61,1286.66
2014.09.01,1287.47,1289.71,1204.31,1207.83
2014.10.01,1208.21,1255.13,1161.42,1171.52
2014.11.01,1167.31,1207.63,1131.44,1165.88
2014.12.01,1158.49,1238.25,1141.74,1186.83
2015.01.01,1186.94,1307.53,1167.33,1283.56
2015.02.01,1280.42,1285.55,1190.3,1212.78
2015.03.01,1213.85,1223.18,1142.7,1183.57
2015.04.01,1183.76,1224.13,1175.14,1183.97
2015.05.01,1184.55,1232.22,1169.66,1190.42
2015.06.01,1190.47,1205.68,1162.63,1171.83
2015.07.01,1174.14,1175,1069.72,1095.48
2015.08.01,1095.72,1170.01,1080.94,1134.71
2015.09.01,1134.6,1156.65,1098.71,1114.47
2015.10.01,1115.56,1191.44,1104.59,1141.74
2015.11.01,1141.45,1142.94,1052.67,1064.37
2015.12.01,1064.81,1088.78,1046.23,1060.81
2016.01.01,1064.88,1127.94,1061.66,1117.99
2016.02.01,1115.86,1263.34,1115.86,1238.3
2016.03.01,1239.05,1283.36,1208.15,1232.44
2016.04.01,1231.56,1296.62,1208.93,1293.68
2016.05.01,1292.65,1303.65,1199.62,1215.08
2016.06.01,1216.02,1358.25,1205.91,1321.58
2016.07.01,1322.58,1375.05,1310.77,1351.11
2016.08.01,1350.61,1367.21,1304.16,1308.81
2016.09.01,1309.79,1352.51,1302.41,1315.89
2016.10.01,1317.19,1319.52,1241.3,1276.87
2016.11.01,1276.63,1337.16,1170.11,1172.62
2016.12.01,1173.73,1187.93,1122.62,1151.32
2017.01.01,1151.67,1219.4,1145.95,1210.36
2017.02.01,1210.48,1263.79,1198.1,1248
2017.03.01,1248.5,1260.97,1194.91,1248.96
2017.04.01,1247.94,1295.45,1243.65,1267.99
2017.05.01,1268.56,1274.08,1214.23,1268.7
2017.06.01,1268.67,1296.01,1236.01,1241.43
2017.07.01,1242.12,1271.04,1204.81,1269.37
2017.08.01,1269.47,1325.94,1251.44,1321.41
2017.09.01,1321.85,1357.42,1275.92,1279.37
2017.10.01,1278.95,1305.91,1260.54,1271
2017.11.01,1270.32,1299.08,1265.37,1274.7
2017.12.01,1275.02,1307.41,1236.37,1302.33
2018.01.01,1309.81,1365.92,1305.7,1344.94
2018.02.01,1343.39,1361.69,1307.04,1318.08
2018.03.01,1319.02,1356.84,1302.76,1325.04
2018.04.01,1325.8,1365.2,1310.18,1314.98
2018.05.01,1316.11,1325.9,1282,1298.24
2018.06.01,1298.89,1309.28,1245.84,1252.74
2018.07.01,1252.73,1265.84,1211.45,1223.94
2018.08.01,1224.13,1224.76,1160.07,1200.78
2018.09.01,1200.68,1212.6,1180.66,1191.51
2018.10.01,1191.89,1243.36,1183.16,1214.48
2018.11.01,1215.3,1237.33,1196.21,1221.96
2018.12.01,1222.91,1284.02,1221.25,1279.48
2019.01.01,1282.21,1326.25,1276.54,1321.05
2019.02.01,1320.95,1346.66,1302.34,1313.08
2019.03.01,1314.15,1324.49,1280.77,1292.16
2019.04.01,1292.15,1310.53,1266.21,1283.29
2019.05.01,1283.13,1306.92,1266.2,1305.13
2019.06.01,1306.59,1439.21,1306.49,1409.91
2019.07.01,1391.67,1452.92,1381.66,1412.23
2019.08.01,1415.85,1555.21,1400.44,1520.55
2019.09.01,1529.39,1556.98,1464.43,1472.29
2019.10.01,1472.93,1519.48,1459.03,1512.13
2019.11.01,1512.49,1516.09,1445.57,1463.83
2019.12.01,1462.43,1525.23,1453.89,1520.46
2020.01.01,1520.26,1611.35,1518.38,1588.83
2020.02.01,1588.65,1689.25,1547.38,1584.7
2020.03.01,1581.79,1703.44,1451.13,1576.78
2020.04.01,1571.41,1747.4,1569.33,1685.98
2020.05.01,1686.02,1765.08,1670.4,1730.41
2020.06.01,1735.4,1785.94,1670.55,1780.54
2020.07.01,1781.61,1983.97,1757.43,1975.02
2020.08.01,1983.53,2074.87,1862.58,1968.22
2020.09.01,1968.35,1992.29,1848.75,1885.23
2020.10.01,1887.32,1933.18,1859.92,1878.37
2020.11.01,1879.27,1965.46,1764.38,1777.64
2020.12.01,1776.97,1906.7,1775.74,1893.43
2021.01.01,1909.07,1959.29,1810.29,1847.59
2021.02.01,1855.57,1871.78,1717.18,1733.84
2021.03.01,1737.79,1759.89,1676.82,1707.7
2021.04.01,1707.4,1797.88,1705.76,1768.97
2021.05.01,1766.81,1912.74,1766.04,1906.62
2021.06.01,1907.26,1916.58,1750.69,1769.65
2021.07.01,1770.03,1834.07,1765.64,1814.28
2021.08.01,1814.6,1831.65,1683.2,1814.26
2021.09.01,1814.47,1833.95,1721.65,1757.16
2021.10.01,1755.82,1813.79,1745.95,1782.98
2021.11.01,1783.36,1877.23,1758.07,1774.43
2021.12.01,1775.91,1828.08,1752.34,1827.95
2022.01.01,1830.63,1853.9,1780.3,1796.88
2022.02.01,1797.51,1974.52,1788.66,1908.26
2022.03.01,1908.3,2070.3,1890.02,1936.88
2022.04.01,1937.15,1998.43,1872.04,1896.42
2022.05.01,1899.29,1909.77,1786.84,1838.26
2022.06.01,1836.74,1878.78,1802.75,1807.16
2022.07.01,1806.65,1814.26,1680.84,1766
2022.08.01,1764.75,1807.87,1709.57,1710.99
2022.09.01,1711.05,1735.13,1614.81,1660.79
2022.10.01,1663.22,1729.49,1617.29,1633.56
2022.11.01,1632.86,1786.57,1616.72,1768.39
2022.12.01,1769.08,1833.63,1765.85,1824.2
2023.01.01,1826.57,1949.09,1823.52,1928.1
2023.02.01,1928.01,1959.68,1804.69,1826.5
2023.03.01,1826.61,2009.8,1809.41,1969.41
2023.04.01,1967.06,2048.67,1949.76,1989.55
2023.05.01,1989.54,2066.81,1932.05,1962.6
2023.06.01,1963.16,1983.48,1892.95,1919.17
2023.07.01,1918.6,1987.43,1902.59,1965.52
2023.08.01,1965.68,1965.98,1884.81,1940.06
2023.09.01,1940.01,1953.02,1846.33,1848.74
2023.10.01,1846.45,2009.47,1810.47,1983.97
2023.11.01,1983.46,2051.99,1931.6,2036.09
2023.12.01,2036.83,2144.77,1973,2062.67
2024.01.01,2062.91,2078.99,2001.68,2039.2
2024.02.01,2038.97,2065.54,1984.03,2044.12
2024.03.01,2043.77,2236.18,2038.92,2232.88
2024.04.01,2241.94,2431.44,2228.51,2286.3
2024.05.01,2286.26,2450.01,2277.17,2326.79
2024.06.01,2327.45,2387.66,2286.71,2326.09
2024.07.01,2326.77,2483.66,2318.45,2447.34
2024.08.01,2447.78,2531.62,2364.22,2502.54
2024.09.01,2503.36,2685.51,2471.82,2634.18
2024.10.01,2634.2,2790,2602.45,2742.93
2024.11.01,2743.46,2762.16,2536.68,2650.21
2024.12.01,2653.56,2726.1,2582.76,2623.82
2025.01.01,2625.67,2817.07,2614.46,2798.14
2025.02.01,2799.43,2956.08,2772.08,2857.19
2025.03.01,2856.73,3128.05,2855.28,3122.89
2025.04.01,3122.81,3499.94,2956.05,3288
2025.05.01,3288.72,3438.13,3120.68,3288.93
2025.06.01,3298.76,3452.4,3247.88,3302.33
2025.07.01,3303.41,3374.98,3282.64,3327.27
